Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stock_Return_Pct,Borrow_Fee_Pct,Capital_Invested,Lending_Income,Final_Value
IRWD,2017-05-30,2017-08-23,15.06,12.65,-16.0%,75.5%,97687585.02,11811094.67,97845468.25
RARE,2017-05-30,2017-08-24,53.01,51.43,-3.0%,108.9%,100410019.35,17348163.47,110378309.65
NVO,2017-06-02,2017-08-25,22.0,23.07,4.9%,84.0%,104177694.62,13235059.51,123428374.95
KMDA,2017-06-02,2017-08-25,8.05,4.55,-43.5%,44.0%,104177694.62,6937916.49,80261939.63
AZN,2017-06-05,2017-08-30,69.84,58.5,-16.2%,119.9%,114398935.67,20158821.49,123526858.6
MRK,2017-06-06,2017-08-31,61.71,60.94,-1.3%,106.9%,118893664.87,18140240.53,137519378.81
NVS,2017-06-06,2017-08-31,73.33,75.53,3.0%,117.5%,118893664.87,19945655.12,140999657.55
NVS,2017-06-07,2017-09-01,72.78,75.1,3.2%,114.1%,129560577.75,19593259.2,151027008.9
PFE,2017-06-09,2017-09-01,31.09,32.22,3.6%,107.9%,129560577.75,18166788.95,150947386.83
NVS,2017-06-13,2017-09-07,72.98,76.43,4.7%,53.3%,144297874.6,9833081.08,158388063.11
VYGR,2017-06-14,2017-09-08,9.53,14.59,53.1%,78.9%,151491419.46,14736589.61,235702518.94
VSTM,2017-06-14,2017-09-08,25.08,63.48,153.1%,57.1%,151491419.46,10671430.77,260726045.21
SRPT,2017-06-14,2017-09-08,33.14,43.01,29.8%,72.1%,151491419.46,13471699.46,191873967.64
KURA,2017-06-15,2017-09-08,7.95,11.8,48.4%,44.7%,151491419.46,8279083.02,258239775.56
AMGN,2017-06-15,2017-09-08,164.11,180.64,10.1%,70.3%,151491419.46,13026549.02,173386031.6
AZN,2017-06-15,2017-09-08,68.22,64.5,-5.5%,118.8%,151491419.46,22012559.94,177614099.0
ABBV,2017-06-15,2017-09-08,70.6,85.34,20.9%,61.2%,151491419.46,11340455.05,188211661.74
BMY,2017-06-19,2017-09-12,55.22,63.02,14.1%,102.7%,213372965.54,20767183.4,250023177.0
REGN,2017-06-19,2017-09-13,471.67,437.74,-7.2%,76.4%,225818313.06,15917958.96,224277894.93
SNY,2017-06-19,2017-09-13,48.57,48.51,-0.1%,73.8%,225818313.06,15384572.3,240218889.88
VNDA,2017-06-21,2017-09-15,15.8,18.4,16.5%,116.6%,253865150.86,25544449.26,305343474.24
AMGN,2017-06-22,2017-09-15,173.82,187.47,7.9%,119.6%,253865150.86,26025371.67,292928224.71
PFE,2017-06-22,2017-09-15,32.31,33.55,3.8%,84.5%,253865150.86,18373910.74,282031259.25
GSK,2017-06-26,2017-09-20,44.07,40.18,-8.8%,97.5%,311234983.76,24692221.83,331017979.33
INVA,2017-06-26,2017-09-20,13.12,13.59,3.6%,52.4%,311234983.76,13270090.82,326239584.39
ABBV,2017-06-26,2017-09-20,72.74,87.41,20.2%,63.7%,311234983.76,16146054.46,356083474.14
RHHBY,2017-06-26,2017-09-20,32.47,31.95,-1.6%,117.5%,311234983.76,29764815.44,342949782.71
ALNY,2017-06-28,2017-09-22,79.97,113.8,42.3%,86.3%,455706914.83,23745134.21,628564592.55
SNY,2017-06-28,2017-09-22,49.29,50.34,2.1%,83.4%,455706914.83,22931353.68,492173928.54
TBPH,2017-06-28,2017-09-22,40.82,33.49,-18.0%,99.8%,455706914.83,27459125.63,495172028.21
GSK,2017-06-28,2017-09-22,43.7,40.58,-7.1%,44.6%,455706914.83,12259271.5,468045833.62
INVA,2017-06-28,2017-09-22,12.9,13.78,6.8%,86.7%,455706914.83,23855089.56,488822612.69
BCRX,2017-06-29,2017-09-22,5.77,5.24,-9.2%,80.2%,455706914.83,21949185.53,477085387.01
MRK,2017-06-30,2017-09-22,61.15,62.15,1.6%,108.2%,455706914.83,29450252.16,487338583.09
BMY,2017-06-30,2017-09-22,55.72,63.36,13.7%,52.6%,455706914.83,14313058.99,487527688.79
EXEL,2017-07-03,2017-09-26,24.75,23.59,-4.7%,116.9%,2272614659.85,60161692.76,2210187113.18
NVO,2017-07-07,2017-09-29,21.0,24.08,14.6%,46.4%,4456003654.47,40565378.31,4469727408.84
